,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
SUDHL4_n1,1.64180672268908,1.6218487394958,1.58350840336134,1.52888655462185,1.38182773109244,1.34453781512605,1.03361344537815,0.878676470588235,0.646533613445378,0.492647058823529
SUDHL4_n2,1.25219298245614,1.41315789473684,1.37719298245614,1.36885964912281,1.30526315789474,1.21842105263158,1.0530701754386,0.868421052631579,0.63640350877193,0.564035087719298
K562_n1,1.11517761033369,1.1437518348175,1.09355122810451,0.976612192973872,0.898522360309228,0.892846658185733,0.80741755553381,0.718269889421665,0.602113709756336,0.552989529308151
K562_n2,1.07399661388308,1.05348072901105,1.04561298675431,0.937257245294293,0.90010955084155,0.874614082262723,0.808783985658799,0.710287819938253,0.615277362812469,0.583607210437207
HL60_n1,1.42783505154639,1.50343642611684,1.51890034364261,1.41752577319588,1.19931271477663,1.20618556701031,1.08591065292096,0.800687285223368,0.597938144329897,0.512027491408935
HL60_n2,1.21535893155259,1.20701168614357,1.19866444073456,1.11686143572621,1.05843071786311,1.0550918196995,0.879799666110184,0.712854757929883,0.525876460767947,0.398998330550918
THP1_n2,1.08679883945841,1.11097678916828,1.13805609284333,1.08776595744681,1.06794003868472,0.954303675048356,0.913684719535783,0.793278529980658,0.796663442940039,0.808027079303675
THP1_n1,1.10421657882127,1.16195495927168,1.09942501197892,1.0790608528989,1.01461427886919,0.918303785337805,0.864159080019166,0.784379492093915,0.792285577383804,0.798754192620987
BULK1_n1,1.16199095022624,1.21990950226244,1.10980392156863,1.06153846153846,1.07269984917044,0.969834087481146,0.835897435897436,0.760180995475113,0.723378582202112,0.648868778280543
BULK1_n2,1.09424572317263,1.13623639191291,1.07153965785381,1.049766718507,1.01150855365474,0.951477449455676,0.802799377916019,0.788180404354588,0.704821150855365,0.676205287713841
BULK2_n1,1.06913674560733,1.08632543926662,1.00802139037433,0.972116119174943,0.865928189457601,0.885790679908327,0.855996944232238,0.705882352941177,0.669213139801375,0.673414820473644
BULK2_n2,1.068669527897,1.08941344778255,1.04041487839771,1.0035765379113,0.986409155937053,0.883404864091559,0.858369098712446,0.747496423462089,0.645922746781116,0.603719599427754
BULK3_n1,1.05739130434783,1.12386473429952,1.02376811594203,0.993236714975845,0.925217391304348,0.842898550724638,0.80463768115942,0.736618357487923,0.669951690821256,0.613526570048309
BULK3_n2,1.08349439505218,1.09431774255895,1.06667955160417,1.00270583687669,0.932933900270584,0.877077696173174,0.82759953614225,0.707769617317356,0.678391959798995,0.646695013529184
BULK4_n1,1.08565621370499,1.16463414634146,1.13821138211382,1.06329849012776,1.02206736353078,0.969512195121951,0.801974448315912,0.747677119628339,0.643728222996516,0.588850174216028
BULK4_n2,0.922210300429185,0.975321888412017,1.0005364806867,0.957081545064378,0.94206008583691,0.873390557939914,0.750536480686695,0.703594420600858,0.593884120171674,0.568401287553648
BULK5_n1,1.07771463676855,1.06266318537859,1.03901090462295,0.988941790815543,0.931193365074489,0.806634925510674,0.849331899861772,0.784979265857779,0.74120718783597,0.688373521732453
BULK5_n2,1.06172839506173,1.07249129471352,1.01123773345996,0.993827160493827,0.862931307375752,0.803577081354859,0.821937321937322,0.781734726179171,0.698797087685977,0.618866729977841
BULK6_n1,1.10583244962884,1.21336161187699,1.1287380699894,1.07274655355249,0.939130434782609,0.921102863202545,0.874019088016967,0.751643690349947,0.746765641569459,0.658960763520679
BULK6_n2,1.10607271274471,1.10427487015581,1.03875349580503,0.955253695565322,0.899121054734319,0.862564922093488,0.792249300838993,0.717339192968438,0.690571314422693,0.652417099480623
